Date,ID,duration,finished,age,state,QID4,QID5,QID6_TEXT,QID7,QID8a,QID8b,QID8c,QID9_1,QID9_2,QID9_3,QID75,QID10,QID81,QID76&77,QID55_TEXT,QID52&45,QID51&46_TEXT,QID80&73,QID40,QID41,QID41_1_TEXT,QID56,QID56_1_TEXT,QID43_TEXT,QID79g,QID79f,QID79e,QID79d,QID79c,QID79b,QID79a,QID47,QID13_1,QID13_2,QID13_3,QID13_4,QID13_5,QID13_6,QID13_7,QID13_8,QID13_9,QID13_10,QID13_11,QID13_12,QID13_13,QID14,QID17,QID16_1,QID16_2,QID16_3,QID16_4,QID16_5,QID16_6,QID16_7,QID16_8,QID18,QID20,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID22_7,QID22_8,QID22_9,QID22_10,QID29alt,QID29,QID30c,QID30b,QID30a,QID31,QID32_TEXT,QID88,QID35,QID36,QID37,QID38
10/7/16,1,651,1,62,34,1,1,14,1,1.0,,,5,1,5,5,2,4.0,3.0,7.19,2.0,7.49,3.0,,,,,,,,,,,,,8.0,4,3,4.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,3,1.0,1.0,4.0,5,3.0,5.0,5,3.0,3.0,1.0,1,1.0,2.0,2,2.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,6.0,2.0,1,1,,,1.0,6,1.0,4,2,4,2.0,3.0
10/7/16,2,742,1,25,44,1,1,3,1,1.0,4.0,8.0,1,2,3,1,4,3.0,3.0,,2.0,10.0,3.0,1.0,2.0,,1.0,5.0,9.0,,,,,,,5.0,1,1,3.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,5,5.0,3.0,5.0,3,2.0,3.0,3,4.0,3.0,3.0,3,3.0,3.0,1,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1,1,,,1.0,1,4.0,1,7,7,6.0,1.0
10/7/16,3,706,1,64,39,2,2,9,1,1.0,,,2,2,3,5,2,6.0,5.0,22.99,2.0,3.0,3.0,,,,,,,,,,,2.0,3.0,5.0,2,3,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2,2.0,2.0,3.0,3,3.0,4.0,4,3.0,4.0,3.0,3,3.0,3.0,5,2.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,2,2,,,1.0,3,1.0,2,6,4,5.0,2.0
10/7/16,4,574,1,39,11,3,2,2,5,1.0,2.0,5.0,3,2,3,5,2,3.0,3.0,8.0,2.0,1.0,2.0,,,,,,,,,,,,,5.0,4,3,3.0,3.0,3.0,5.0,3.0,4.0,2.0,2.0,1,1.0,1.0,2.0,3,3.0,4.0,3,3.0,3.0,1.0,2,2.0,3.0,3,2.0,2.0,6.0,6.0,6.0,3.0,2.0,1.0,2.0,5.0,2.0,2,2,,,1.0,1,4.0,7,2,2,4.0,3.0
10/7/16,5,253,1,37,36,1,1,35,1,1.0,2.0,5.0,3,2,3,4,2,4.0,4.0,10.99,1.0,,3.0,,,,,,,,,,,,,8.0,2,3,1.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,3,1.0,1.0,3.0,1,3.0,5.0,4,4.0,3.0,4.0,2,2.0,1.0,3,3.0,5.0,6.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,1,1,,,1.0,1,2.0,2,2,6,6.0,3.0
10/7/16,6,429,1,42,6,3,3,1,1,13.0,,,3,4,2,5,2,4.0,1.0,11.0,1.0,,3.0,,,,,,,,,,,,,1.0,3,3,3.0,4.0,2.0,5.0,2.0,4.0,2.0,3.0,1,2.0,3.0,4.0,3,3.0,4.0,2,3.0,3.0,1.0,2,3.0,2.0,2,1.0,3.0,6.0,6.0,7.0,3.0,1.0,1.0,3.0,3.0,3.0,2,2,,,4.0,1,5.0,5,2,6,7.0,3.0
10/7/16,7,527,1,34,6,2,2,6,4,5.0,,,2,4,3,5,4,6.0,1.0,10.0,2.0,12.0,1.0,,,,,,,,,,1.0,2.0,3.0,4.0,2,3,3.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,3,3.0,3.0,3.0,4,3.0,5.0,2,3.0,2.0,1.0,2,2.0,3.0,1,2.0,6.0,7.0,7.0,7.0,1.0,1.0,7.0,2.0,4.0,2.0,1,1,,,1.0,1,3.0,4,2,5,6.0,3.0
10/7/16,8,508,1,34,6,2,1,10,1,1.0,4.0,5.0,2,3,3,5,2,4.0,4.0,15.0,2.0,2.0,1.0,,,,,,,,,,1.0,6.0,2.0,4.0,2,4,3.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,2,3.0,3.0,4.0,5,2.0,5.0,3,3.0,3.0,1.0,1,1.0,3.0,2,2.0,2.0,2.0,7.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,2,2,,,1.0,6,2.0,7,1,3,4.0,2.0
10/7/16,9,402,1,35,36,2,1,6,1,1.0,,,4,1,4,5,1,4.0,5.0,18.0,2.0,19.0,4.0,,,,,,,,,,,,,8.0,5,3,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3,3.0,3.0,4.0,1,5.0,5.0,5,5.0,5.0,5.0,5,1.0,3.0,5,5.0,2.0,3.0,3.0,3.0,6.0,3.0,4.0,3.0,3.0,5.0,1,1,,,1.0,1,3.0,2,6,2,2.0,3.0
10/7/16,10,741,1,31,10,2,2,2,1,1.0,12.0,13.0,2,2,3,4,3,4.0,4.0,15.0,2.0,17.0,2.0,,,,,,,,,,,,,5.0,2,2,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3,3.0,3.0,4.0,3,3.0,4.0,3,3.0,3.0,4.0,4,1.0,3.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,1,1,,,1.0,2,3.0,5,3,8,7.0,3.0
10/7/16,11,508,1,32,11,1,1,10,5,1.0,,,1,2,4,5,1,3.0,3.0,,1.0,,1.0,1.0,1.0,9.0,1.0,8.0,20.0,,,,,,,6.0,2,2,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2,2.0,1.0,4.0,3,3.0,5.0,5,4.0,4.0,4.0,3,2.0,3.0,3,2.0,3.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,5.0,2.0,1,1,,,1.0,1,,2,3,5,6.0,3.0
10/7/16,12,363,1,26,8,3,2,2,1,2.0,7.0,9.0,1,5,4,5,3,6.0,3.0,9.0,2.0,3.0,1.0,,,,,,,,,,,,,6.0,4,5,5.0,4.0,3.0,5.0,2.0,5.0,4.0,3.0,2,1.0,1.0,4.0,5,1.0,2.0,4,3.0,1.0,1.0,1,1.0,3.0,3,1.0,6.0,6.0,6.0,6.0,1.0,4.0,3.0,3.0,3.0,2.0,1,1,,,1.0,6,6.0,4,2,5,1.0,1.0
10/7/16,13,452,1,50,10,3,3,8,1,1.0,,,3,1,3,5,2,4.0,3.0,6.0,1.0,,3.0,,,,,,,,,,,,,5.0,2,1,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3,1.0,1.0,4.0,3,3.0,5.0,5,3.0,3.0,1.0,1,1.0,1.0,3,3.0,1.0,4.0,1.0,1.0,6.0,7.0,3.0,1.0,1.0,4.0,1,1,,,1.0,6,4.0,2,7,5,5.0,3.0
10/7/16,14,379,1,37,33,2,1,4,1,1.0,4.0,5.0,1,4,5,4,3,4.0,4.0,,1.0,,1.0,1.0,1.0,90.0,1.0,20.0,16.99,,,,,,1.0,4.0,2,4,4.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,1,1.0,3.0,5.0,5,3.0,5.0,5,4.0,4.0,1.0,1,1.0,4.0,2,3.0,4.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,6.0,1.0,1,1,,,1.0,1,3.0,4,4,4,5.0,3.0
10/7/16,15,653,1,39,34,2,1,12,1,1.0,3.0,4.0,3,2,3,5,2,6.0,3.0,8.99,2.0,2.0,1.0,,,,,,,,,1.0,6.0,2.0,3.0,5.0,2,1,2.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,1,1.0,1.0,3.0,5,2.0,5.0,2,3.0,2.0,1.0,1,2.0,3.0,1,2.0,3.0,6.0,6.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,1,1,,,1.0,4,4.0,4,5,4,4.0,3.0
10/7/16,16,402,1,26,11,1,2,20,1,13.0,5.0,9.0,2,4,3,5,4,1.0,3.0,11.99,1.0,,3.0,,,,,,,,,1.0,6.0,3.0,4.0,5.0,2,1,3.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2,1.0,1.0,4.0,2,3.0,5.0,5,3.0,5.0,1.0,1,5.0,3.0,5,3.0,1.0,3.0,4.0,4.0,6.0,5.0,3.0,3.0,2.0,4.0,1,1,,,1.0,2,2.0,4,6,3,7.0,3.0
